trace_id,source_id,official_or_primary_location,organization_to_verify,verification_task,status,notes
T001,GJWASH_2025_08,ReliefWeb WASH Cluster or assessment publisher,WASH Cluster,Verify title date publisher PDF and sampling frame,needs_revision,Exact public report record not located in current web search; expected local file is absent; keep C001 page binding blocked.
T002,ALMAWASI7_EA32,Assessment publisher or factsheet host,Humanitarian assessment publisher,Verify enumeration area title geography and date,needs_revision,Exact public factsheet record not located in current web search; keep local-only claim blocked pending file or URL.
T003,ASSAWARAH_EA8,Assessment publisher or factsheet host,Humanitarian assessment publisher,Verify enumeration area title geography and date,needs_revision,Exact public factsheet record not located in current web search; keep local-only claim blocked pending file or URL.
T004,LTM_2025_04_R3,WASH Cluster or report host,WASH Cluster,Verify round date geography and assessed frame,needs_revision,Exact public Round 3 record not located in current web search; use no trend claim until source is bound.
T005,LTM_2025_06_R4,WASH Cluster or report host,WASH Cluster,Verify round date geography and assessed frame,needs_revision,Exact public Round 4 record not located in current web search; use no trend claim until source is bound.
T006,RDNA_2025_02,World Bank United Nations European Union or official RDNA host,RDNA partners,Verify final report date authors and infrastructure tables,pending,Secondary news confirms a joint UN EU World Bank Interim Rapid Damage and Needs Assessment released Feb 18 2025; official report URL and tables still need binding.
T007,HEALTH_WATER_GAZA,Uploaded Turkman et al. JGPOH PDF and DOI record,Journal of Global Public Health One Health,Verify bibliographic metadata and localized water-quality claim pages,verified,Uploaded PDF records posted date 28 Jun 2025 DOI 10.61034/JGPOH-2025-13 and reports May-June 2024 Khan Younis and Middle Area sampling; use only within scope.
T008,SHELTER_WASH_FSS_IDP_2025_07,Assessment publisher or report host,Humanitarian assessment publisher,Resolve project-scope geography before any use,pending_blocked,Do not use for findings until resolved.
T009,FAYAD_PLOS_WATER_2025,Uploaded Fayad et al. PLOS Water PDF and DOI record,PLOS Water,Verify bibliographic metadata and political-economy claim pages,verified,Uploaded PDF records DOI 10.1371/journal.pwat.0000418 and identifies nine political-economy challenges; use for context only.
T010,OCHA_SITREP_2026_04_17,OCHA oPt public report page,OCHA oPt,Verify report date URL and WASH-relevant text,verified,Official report URL is bound; use only as time-stamped situation context.
T011,OCHA_SITREP_2026_05_15,OCHA oPt public report page,OCHA oPt,Verify report date URL and WASH-relevant text,verified,Official report URL is bound; use only as time-stamped situation context.
T012,WASH_CLUSTER_PALESTINE_2026,ReliefWeb Response WASH Cluster Palestine page,WASH Cluster Palestine,Verify coordination page URL and hub role,verified,Official coordination hub URL is bound; use as source-discovery or coordination context only.
T013,JMP_WASH_HH_2025_COUNTRY,Uploaded JMP WASH HH 2025 by country workbook,WHO UNICEF Joint Monitoring Programme,Verify workbook file hash and derived OPT 2024 summary rows,verified,Uploaded workbook SHA-256 f60a79d8afca9e75974db1c2feb16a8f4df4af375c383e54213ea63f75d832b4; derived rows in assessments/derived/jmp_opt_2024_summary.csv.
T014,JMP_PSE_PROFILE_2025,Uploaded JMP 2025 State of Palestine profile workbook,WHO UNICEF Joint Monitoring Programme,Verify workbook file hash and derived 2024 profile rows,verified,Uploaded workbook SHA-256 c38ee806fb8e40833b74cdab29d07027d0e7e48e720a5b8932f21bd88fb3111b; derived rows in assessments/derived/jmp_pse_2024_profile_core.csv.
T015,JMP_PSE_INEQUALITIES_2021,Uploaded JMP 2021 State of Palestine inequalities workbook,WHO UNICEF Joint Monitoring Programme,Verify workbook file hash and derived 2020 inequality rows,verified,Uploaded workbook SHA-256 2060c364dc1474137aa4a7733c93092b1cc21e0990753e9dedfc02c464deeef9; derived rows in assessments/derived/jmp_pse_2020_inequalities_summary.csv.
T016,JMP_WINHCF_PSE_2024,Uploaded JMP 2024 WASH in health care facilities workbook,WHO UNICEF Joint Monitoring Programme,Verify workbook file hash and derived 2023 facility rows,verified,Uploaded workbook SHA-256 1c73cc32993129bc7b4c8a410590a5f4843ab5f99e604421ef7b735963ff8845; derived rows in assessments/derived/jmp_winhcf_pse_2023_core.csv.
