indicator_id,domain,indicator_name,definition,preferred_geography,preferred_time_unit,source_class,source_name,source_url,raw_field_name,standardized_field_name,score_rule,score_values,verification_status,notes
env_001,Environmental health hazard,Solid waste accumulation,Reported accumulation of solid waste affecting public health risk,admin_area_or_site,report_date,OCHA/WASH Cluster,Pending source extraction,,pending,solid_waste_burden,"0=low or not reported;1=moderate accumulation;2=severe accumulation","0;1;2",pending,Keep separate from sanitation if source permits
env_002,Environmental health hazard,Sewage exposure,Reported sewage overflow or exposure affecting living areas,admin_area_or_site,report_date,OCHA/WASH Cluster,Pending source extraction,,pending,sewage_exposure,"0=low or not reported;1=reported exposure;2=widespread or severe exposure","0;1;2",pending,Use exact source date
env_003,Environmental health hazard,Vector or pest burden,Reported pest or vector conditions relevant to environmental health,admin_area_or_site,report_date,OCHA/WASH Cluster,Pending source extraction,,pending,pest_burden,"0=low or not reported;1=reported;2=widespread or severe","0;1;2",pending,Do not infer disease burden from pest report alone
health_001,Health-system access,Functional health facility access,Access to functional health facility or service point,admin_area_or_site,report_date,WHO/Health Cluster/HDX,Pending source extraction,,pending,functional_facility_access,"0=adequate;1=limited;2=severely constrained","0;1;2",pending,May require spatial join if facility coordinates available
health_002,Health-system access,Mobile service availability,Availability of mobile clinic or emergency medical service coverage,admin_area_or_site,report_date,WHO/Health Cluster,Pending source extraction,,pending,mobile_service_availability,"0=available;1=limited;2=not reported or severely constrained","0;1;2",pending,Code cautiously when absence reflects missing data
ops_001,Operational access constraint,Electricity or fuel constraint,Reported electricity or fuel limitation affecting services,admin_area_or_site,report_date,OCHA/WASH Cluster,Pending source extraction,,pending,electricity_fuel_constraint,"0=low or not reported;1=moderate;2=severe","0;1;2",pending,Keep source wording in extraction notes
ops_002,Operational access constraint,Access constraint,Reported constraint affecting service delivery or repair access,admin_area_or_site,report_date,OCHA/Cluster,Pending source extraction,,pending,access_constraint,"0=low or not reported;1=moderate;2=severe","0;1;2",pending,Do not include tactical or sensitive route detail
vuln_001,Population vulnerability,Displacement concentration,Concentration of displaced population by area or site,admin_area_or_site,report_date,OCHA/UN source,Pending source extraction,,pending,displacement_concentration,"0=low;1=moderate;2=high","0;1;2",pending,Use denominators where available
wash_001,WASH service stress,Water access limitation,Reported limitation in household or site-level access to sufficient water,admin_area_or_site,report_date,OCHA/WASH Cluster,Pending source extraction,,pending,water_access_limitation,"0=low or not reported;1=moderate stress;2=severe stress","0;1;2",pending,Use only values with date-stamped source support
wash_002,WASH service stress,Sanitation service disruption,Reported disruption in sanitation service availability or function,admin_area_or_site,report_date,OCHA/WASH Cluster,Pending source extraction,,pending,sanitation_disruption,"0=low or not reported;1=moderate disruption;2=severe disruption","0;1;2",pending,Document whether value is direct or coded from narrative
